S.No,API Endpoint,HTTP Method,Description,Input Parameters,Input Example (JSON),Output Format,Output Example (JSON)
1,/api/health,GET,"Health check endpoint. Returns the current status of the Nokia Schedular API service.",None,None,"JSON object with status and service name","{""status"": ""ok"", ""service"": ""nokia-schedular-api""}"
2,/api/v1/schedular/gantt-charts,GET,"List all sites with gantt chart data. Supports filtering by region, market, site_id, vendor, area, and user_id with pagination.","Query Params: region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), limit (int, optional, default=50), offset (int, optional, default=0)","/api/v1/schedular/gantt-charts?region=Northeast&market=NYC&limit=10&offset=0","JSON object with count, sites array, and pagination info","{""count"": 1, ""sites"": [{""site_id"": ""SITE001"", ""project_id"": ""PRJ-101"", ""project_name"": ""Tower Build"", ""market"": ""NYC"", ""region"": ""Northeast"", ""construction_start_4225"": ""2025-03-01"", ""gc_assignment"": ""Vendor A"", ""milestones"": [{""key"": ""1310"", ""name"": ""Site Acquisition"", ""sort_order"": 1, ""path"": ""col_name"", ""expected_days"": 30, ""dependency_type"": ""finish_to_start"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""], ""planned_start"": ""2025-03-01"", ""planned_finish"": ""2025-03-31"", ""actual_finish"": ""2025-03-28"", ""actual_value"": ""Complete"", ""days_since"": 5, ""days_remaining"": 0, ""delay_days"": 0, ""status"": ""COMPLETED"", ""status_color"": ""green""}], ""overall_status"": ""ON TRACK"", ""overall_progress"": 45.5, ""critical_path_delay"": 0}], ""pagination"": {""limit"": 10, ""offset"": 0, ""total"": 1}}"
3,/api/v1/schedular/gantt-charts/dashboard,GET,"Dashboard summary for a user. Returns aggregated site status counts and on-track percentage based on user's saved filter preferences.","Query Params: user_id (string, required)","/api/v1/schedular/gantt-charts/dashboard?user_id=user123","JSON object with dashboard summary statistics","{""dashboard_status"": ""ON TRACK"", ""on_track_pct"": 78.5, ""total_sites"": 200, ""in_progress_sites"": 120, ""critical_sites"": 15, ""on_track_sites"": 156, ""blocked_sites"": 9}"
4,/api/v1/schedular/filters/regions,GET,"Get all distinct region values from the database. Used to populate region filter dropdowns.",None,None,"JSON array of region strings","[""Northeast"", ""Southeast"", ""Midwest"", ""West""]"
5,/api/v1/schedular/filters/markets,GET,"Get all distinct market values from the database. Used to populate market filter dropdowns.",None,None,"JSON array of market strings","[""NYC"", ""Chicago"", ""LA"", ""Dallas""]"
6,/api/v1/schedular/filters/areas,GET,"Get all distinct area values (m_area column) from the database. Used to populate area filter dropdowns.",None,None,"JSON array of area strings","[""Area 1"", ""Area 2"", ""Area 3""]"
7,/api/v1/schedular/filters/sites,GET,"Get all distinct site ID values from the database. Used to populate site filter dropdowns.",None,None,"JSON array of site ID strings","[""SITE001"", ""SITE002"", ""SITE003""]"
8,/api/v1/schedular/filters/vendors,GET,"Get all distinct vendor values from the database. Used to populate vendor filter dropdowns.",None,None,"JSON array of vendor strings","[""Vendor A"", ""Vendor B"", ""Vendor C""]"
9,/api/v1/schedular/prerequisites,GET,"List all prerequisite/milestone definitions ordered by sort_order. Each prerequisite is enriched with its dependency graph (preceding and following milestones).",None,None,"JSON array of MilestoneDefinitionOut objects","[{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""sort_order"": 1, ""expected_days"": 30, ""history_expected_days"": null, ""start_gap_days"": 1, ""sla_type"": ""default"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""]}]"
10,/api/v1/schedular/prerequisites/{prerequisite_id},GET,"Get a single prerequisite/milestone definition by its ID. Returns the prerequisite enriched with dependency information.","Path Params: prerequisite_id (int, required)","/api/v1/schedular/prerequisites/1","JSON object of MilestoneDefinitionOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""sort_order"": 1, ""expected_days"": 30, ""history_expected_days"": null, ""start_gap_days"": 1, ""sla_type"": ""default"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""]}"
11,/api/v1/schedular/constraints,GET,"List all constraint thresholds ordered by type then sort_order. Used for milestone and overall site status color-coding rules.",None,None,"JSON array of ConstraintThresholdSchema objects","[{""id"": 1, ""constraint_type"": ""milestone"", ""name"": ""On Track"", ""status_label"": ""ON TRACK"", ""color"": ""green"", ""min_pct"": 0, ""max_pct"": 50.0, ""sort_order"": 1}]"
12,/api/v1/schedular/constraints/milestone,GET,"List only milestone-level constraint thresholds. Filters thresholds where constraint_type is 'milestone'.",None,None,"JSON array of ConstraintThresholdSchema objects","[{""id"": 1, ""constraint_type"": ""milestone"", ""name"": ""On Track"", ""status_label"": ""ON TRACK"", ""color"": ""green"", ""min_pct"": 0, ""max_pct"": 50.0, ""sort_order"": 1}]"
13,/api/v1/schedular/constraints/overall,GET,"List only overall site-level constraint thresholds. Filters thresholds where constraint_type is 'overall'.",None,None,"JSON array of ConstraintThresholdSchema objects","[{""id"": 2, ""constraint_type"": ""overall"", ""name"": ""Critical"", ""status_label"": ""CRITICAL"", ""color"": ""red"", ""min_pct"": 80, ""max_pct"": 100.0, ""sort_order"": 1}]"
14,/api/v1/schedular/constraints/{constraint_id},GET,"Get a single constraint threshold by its ID.","Path Params: constraint_id (int, required)","/api/v1/schedular/constraints/1","JSON object of ConstraintThresholdSchema","{""id"": 1, ""constraint_type"": ""milestone"", ""name"": ""On Track"", ""status_label"": ""ON TRACK"", ""color"": ""green"", ""min_pct"": 0, ""max_pct"": 50.0, ""sort_order"": 1}"
15,/api/v1/schedular/constraints,POST,"Create a new constraint threshold. Validates percentage ranges and prevents duplicate entries.","Request Body: constraint_type (string, default=""milestone""), name (string, required), status_label (string, required), color (string, required), min_pct (float, default=0), max_pct (float, optional), sort_order (int, default=0)","{""constraint_type"": ""milestone"", ""name"": ""Warning"", ""status_label"": ""WARNING"", ""color"": ""yellow"", ""min_pct"": 50, ""max_pct"": 80, ""sort_order"": 2}","JSON object of created ConstraintThresholdSchema","{""id"": 3, ""constraint_type"": ""milestone"", ""name"": ""Warning"", ""status_label"": ""WARNING"", ""color"": ""yellow"", ""min_pct"": 50, ""max_pct"": 80.0, ""sort_order"": 2}"
16,/api/v1/schedular/constraints/{constraint_id},PUT,"Update an existing constraint threshold. Supports partial updates and validates percentage logic.","Path Params: constraint_id (int, required). Request Body: name (string, optional), status_label (string, optional), color (string, optional), min_pct (float, optional), max_pct (float, optional), sort_order (int, optional)","{""name"": ""Updated Warning"", ""color"": ""orange"", ""min_pct"": 55}","JSON object of updated ConstraintThresholdSchema","{""id"": 3, ""constraint_type"": ""milestone"", ""name"": ""Updated Warning"", ""status_label"": ""WARNING"", ""color"": ""orange"", ""min_pct"": 55, ""max_pct"": 80.0, ""sort_order"": 2}"
17,/api/v1/schedular/constraints/{constraint_id},DELETE,"Delete a constraint threshold by its ID.","Path Params: constraint_id (int, required)","/api/v1/schedular/constraints/3","JSON object with detail message","{""detail"": ""Constraint threshold deleted.""}"
18,/api/v1/schedular/gate-checks/por_plan_type,GET,"Get all distinct por_plan_type values from the staging table. Used to populate plan type filter options.",None,None,"JSON array of plan type strings","[""New Build"", ""FOA"", ""Modification""]"
19,/api/v1/schedular/gate-checks/por_regional_dev_initiatives,GET,"Get all distinct por_regional_dev_initiatives values from the staging table. Used to populate regional dev initiatives filter options.",None,None,"JSON array of regional dev initiative strings","[""2026 Build Plan"", ""Rural Expansion""]"
20,/api/v1/schedular/gate-checks,POST,"Save or update gate check filter selections for a user. Upserts the UserFilter row with plan_type_include and regional_dev_initiatives.","Request Body: user_id (string, required), plan_type_include (list[string], optional), regional_dev_initiatives (string, optional)","{""user_id"": ""user123"", ""plan_type_include"": [""New Build"", ""FOA""], ""regional_dev_initiatives"": ""2026 Build Plan""}","JSON object of GateCheckOut","{""user_id"": ""user123"", ""plan_type_include"": [""New Build"", ""FOA""], ""regional_dev_initiatives"": ""2026 Build Plan""}"
21,/api/v1/schedular/gate-checks/{user_id},GET,"Get saved gate check selections for a specific user. Returns 404 if no gate checks are saved.","Path Params: user_id (string, required)","/api/v1/schedular/gate-checks/user123","JSON object of GateCheckOut","{""user_id"": ""user123"", ""plan_type_include"": [""New Build"", ""FOA""], ""regional_dev_initiatives"": ""2026 Build Plan""}"
22,/api/v1/schedular/assistant/chat,POST,"AI-powered chat interface. Maintains conversation history per user_id and returns recommended API endpoints and parameters for the frontend to call.","Query Params: user_id (string, required). Request Body: message (string, default=""Give the current filters"")","{""message"": ""Show me all critical sites in Northeast region""}","JSON object with assistant response (recommended endpoints and params)","{""response"": ""Based on your request, I recommend calling the gantt-charts endpoint with region=Northeast filter."", ""recommended_actions"": [{""endpoint"": ""/api/v1/schedular/gantt-charts"", ""params"": {""region"": ""Northeast""}}]}"
23,/api/v1/schedular/user-filters/{user_id},GET,"Get saved filter preferences for a specific user. Returns 404 if no filters are saved for the user.","Path Params: user_id (string, required)","/api/v1/schedular/user-filters/user123","JSON object of UserFilterOut","{""id"": 1, ""user_id"": ""user123"", ""region"": ""Northeast"", ""market"": ""NYC"", ""vendor"": ""Vendor A"", ""site_id"": null, ""area"": null, ""plan_type_include"": ""[\""New Build\""]"", ""regional_dev_initiatives"": ""2026 Build Plan""}"
24,/api/v1/schedular/user-filters/{user_id},DELETE,"Clear all saved filter preferences for a specific user.","Path Params: user_id (string, required)","/api/v1/schedular/user-filters/user123","JSON object with detail message","{""detail"": ""Filters cleared for user user123.""}"
25,/api/v1/schedular/skip-prerequisites,POST,"Mark a prerequisite as skipped for the current user. Prevents duplicate skip entries.","Request Body: milestone_key (string, required)","{""milestone_key"": ""1310""}","JSON object of SkipPrerequisiteOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}"
26,/api/v1/schedular/skip-prerequisites/{user_id},GET,"List all skipped prerequisites for a specific user.","Path Params: user_id (string, required)","/api/v1/schedular/skip-prerequisites/user123","JSON array of SkipPrerequisiteOut objects","[{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}]"
27,/api/v1/schedular/skip-prerequisites/{user_id}/{milestone_key},DELETE,"Un-skip a single prerequisite for a specific user. Restores the prerequisite to active state.","Path Params: user_id (string, required), milestone_key (string, required)","/api/v1/schedular/skip-prerequisites/user123/1310","JSON object with detail message","{""detail"": ""Prerequisite 1310 un-skipped for user user123.""}"
28,/api/v1/schedular/skip-prerequisites/{user_id},DELETE,"Un-skip all prerequisites for a specific user. Restores all prerequisites to active state.","Path Params: user_id (string, required)","/api/v1/schedular/skip-prerequisites/user123","JSON object with detail message","{""detail"": ""All prerequisites un-skipped for user user123.""}"
29,/api/v1/schedular/user-expected-days/{user_id},PUT,"Set or update the expected_days SLA override for a specific milestone for a user. Upserts the record.","Path Params: user_id (string, required). Request Body: milestone_key (string, required), expected_days (int, required, >= 0)","{""milestone_key"": ""1310"", ""expected_days"": 45}","JSON object of UserExpectedDaysOut","{""id"": 1, ""user_id"": ""user123"", ""milestone_key"": ""1310"", ""expected_days"": 45}"
30,/api/v1/schedular/user-expected-days/{user_id},GET,"List all expected_days SLA overrides for a specific user.","Path Params: user_id (string, required)","/api/v1/schedular/user-expected-days/user123","JSON array of UserExpectedDaysOut objects","[{""id"": 1, ""user_id"": ""user123"", ""milestone_key"": ""1310"", ""expected_days"": 45}]"
31,/api/v1/schedular/sla-history/gantt-charts,GET,"Gantt chart using history-based SLA. Computes expected_days from historical actual dates within the specified date range.","Query Params: date_from (string, YYYY-MM-DD, required), date_to (string, YYYY-MM-DD, required), region (string, optional), market (string, optional), site_id (string, optional), vendor (string, optional), area (string, optional), user_id (string, optional), limit (int, optional), offset (int, optional)","/api/v1/schedular/sla-history/gantt-charts?date_from=2025-01-01&date_to=2025-06-30&region=Northeast","JSON object with sla_type, date range, count, sites array, and pagination","{""sla_type"": ""history"", ""date_from"": ""2025-01-01"", ""date_to"": ""2025-06-30"", ""count"": 1, ""sites"": [{""site_id"": ""SITE001"", ""project_id"": ""PRJ-101"", ""project_name"": ""Tower Build"", ""market"": ""NYC"", ""region"": ""Northeast"", ""milestones"": [], ""overall_status"": ""ON TRACK"", ""overall_progress"": 60.0, ""critical_path_delay"": 0}], ""pagination"": {""limit"": 50, ""offset"": 0, ""total"": 1}}"
32,/api/v1/schedular/sla-history/reset,POST,"Clear all history_expected_days values from milestone_definitions table. Reverts all milestones to use default expected_days.",None,None,"JSON object with detail message","{""detail"": ""History expected days cleared for all milestones.""}"
33,/api/v1/schedular/export/gantt-csv,GET,"Export gantt chart data as a downloadable CSV file. With user_id applies user's saved filters; without user_id exports all sites.","Query Params: user_id (string, optional)","/api/v1/schedular/export/gantt-csv?user_id=user123","StreamingResponse (CSV file download, content-type: text/csv)","CSV file with columns: site_id, project_id, project_name, market, region, milestone_key, milestone_name, planned_start, planned_finish, actual_finish, status, delay_days, overall_status, overall_progress"
34,/api/v1/schedular/admin/prerequisites,POST,"Admin-only: Create a new prerequisite/milestone definition. Auto-syncs prereq_tails and handles dependency rewiring for insertion into the chain.","Request Body: key (string, required), name (string, required), expected_days (int, default=0), start_gap_days (int, default=1), task_owner (string, optional), phase_type (string, optional), preceding_milestone_keys (list[string], optional), following_milestone_keys (list[string], optional), insert_after_key (string, optional), columns (list[MilestoneColumnCreate], default=[])","{""key"": ""1315"", ""name"": ""Zoning Approval"", ""expected_days"": 14, ""start_gap_days"": 1, ""task_owner"": ""Legal"", ""phase_type"": ""Acquisition"", ""preceding_milestone_keys"": [""1310""], ""following_milestone_keys"": [""1320""], ""insert_after_key"": ""1310"", ""columns"": [{""column_name"": ""zoning_date"", ""column_role"": ""date"", ""logic"": null}]}","JSON object of MilestoneDefinitionCreateOut","{""id"": 5, ""key"": ""1315"", ""name"": ""Zoning Approval"", ""sort_order"": 2, ""expected_days"": 14, ""start_gap_days"": 1, ""task_owner"": ""Legal"", ""phase_type"": ""Acquisition"", ""depends_on"": ""1310"", ""preceding_milestones"": [""1310""], ""following_milestones"": [""1320""], ""columns"": [{""column_name"": ""zoning_date"", ""column_role"": ""date"", ""logic"": null}]}"
35,/api/v1/schedular/admin/prerequisites/{prerequisite_id},PUT,"Admin-only: Update an existing prerequisite/milestone definition. Supports partial updates and auto-syncs prereq_tails.","Path Params: prerequisite_id (int, required). Request Body: name (string, optional), expected_days (int, optional), start_gap_days (int, optional), task_owner (string, optional), phase_type (string, optional)","{""name"": ""Updated Site Acquisition"", ""expected_days"": 35}","JSON object of MilestoneDefinitionOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Updated Site Acquisition"", ""sort_order"": 1, ""expected_days"": 35, ""history_expected_days"": null, ""start_gap_days"": 1, ""sla_type"": ""default"", ""task_owner"": ""PM"", ""phase_type"": ""Acquisition"", ""preceding_milestones"": null, ""following_milestones"": [""1320""]}"
36,/api/v1/schedular/admin/skip-prerequisites,POST,"Admin-only: Globally skip a prerequisite. Sets is_skipped=True on the milestone definition affecting all users.","Request Body: milestone_key (string, required)","{""milestone_key"": ""1310""}","JSON object of SkipPrerequisiteOut","{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}"
37,/api/v1/schedular/admin/skip-prerequisites,GET,"Admin-only: List all globally skipped prerequisites.",None,None,"JSON array of SkipPrerequisiteOut objects","[{""id"": 1, ""key"": ""1310"", ""name"": ""Site Acquisition"", ""is_skipped"": true}]"
38,/api/v1/schedular/admin/skip-prerequisites/{milestone_key},DELETE,"Admin-only: Un-skip a single prerequisite globally. Restores the prerequisite to active state for all users.","Path Params: milestone_key (string, required)","/api/v1/schedular/admin/skip-prerequisites/1310","JSON object with detail message","{""detail"": ""Prerequisite 1310 un-skipped globally.""}"
39,/api/v1/schedular/admin/skip-prerequisites,DELETE,"Admin-only: Un-skip all prerequisites globally. Restores all prerequisites to active state for all users.",None,None,"JSON object with detail message","{""detail"": ""All prerequisites un-skipped globally.""}"
