Sort Order,Milestone Key,Milestone Name,Phase,Task Owner,Expected Days Before CX Start,DB Column Name,Column Role,Source Table,Query / Calculation Logic,Status Determination Logic
1,cpo,CPO For Site,Pre-CX Phase,TMO,0,ms_1555_construction_complete_cpo_custom_field,text,pwc_macro_staging_schema (main staging),"Text presence check on column ms_1555_construction_complete_cpo_custom_field. No date comparison — just checks if the field is populated.","On Track = field is non-empty; Delayed = field is empty/null. No delay days calculated."
2,3850,BOM Ready (MS 3850),Material Phase,CM,42,pj_a_3850_bom_submitted_bom_in_bat_finish,date,pwc_macro_staging_schema (main staging),"Date column pj_a_3850_bom_submitted_bom_in_bat_finish. Expected date = CX_Start - 42 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
3,3875,BOM Material Available in MSL (MS 3875),Material Phase,TMO,10,pj_a_3875_bom_received_bom_in_aims_finish,date,pwc_macro_staging_schema (main staging),"Date column pj_a_3875_bom_received_bom_in_aims_finish. Expected date = CX_Start - 10 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
4,3925,Material Pickup by GC (MS 3925),Material Phase,GC,7,pj_a_3925_msl_pickup_date_finish,date,pwc_macro_staging_schema (main staging),"Date column pj_a_3925_msl_pickup_date_finish. Expected date = CX_Start - 7 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
5,4000,LL NTP Ready (MS 4000),NTP Phase,TMO,28,pj_a_4000_ll_ntp_received,text,pwc_macro_staging_schema (main staging),"Text presence check on column pj_a_4000_ll_ntp_received. No date comparison — just checks if the field is populated.","On Track = field is non-empty; Delayed = field is empty/null. No delay days calculated."
6,4075,Overall NTP Ready (MS 4075),NTP Phase,TMO,28,pj_a_4075_construction_ntp_submitted_to_gc_finish,date,pwc_macro_staging_schema (main staging),"Date column pj_a_4075_construction_ntp_submitted_to_gc_finish. Expected date = CX_Start - 28 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
7,4100,Final NTP Ready (MS 4100),NTP Phase,PDM,28,pj_a_4100_construction_ntp_accepted_by_gc_finish,date,pwc_macro_staging_schema (main staging),"Date column pj_a_4100_construction_ntp_accepted_by_gc_finish. Expected date = CX_Start - 28 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
8,spo_gc_cx,SPO to GC for CX,SPO Phase,PROJECT-OPS,42,ms1555_construction_complete_spo_issued_date,date,pwc_macro_staging_schema (main staging),"Date column ms1555_construction_complete_spo_issued_date. Expected date = CX_Start - 42 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
9,crane,Crane,Crane Readiness Phase,GC,14,scoping_package_crane_required,status,pwc_macro_staging_schema (main staging),"Status field scoping_package_crane_required. Checks value against predefined on_track list: ['Yes', 'No']. Delayed values: ['null', '', None].","On Track = value is 'Yes' or 'No'; Delayed = value is null/empty/blank. No delay days calculated."
10,talon_scoping,Talon Session for Scoping,Scoping Phase,SE-CoE,14,scoping_package_create_date,date,pwc_macro_staging_schema (main staging),"Date column scoping_package_create_date. Expected date = CX_Start - 14 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
11,talon_scop,Talon Session for SCOP,SCOP Phase,SE-CoE,14,ms_1557_punch_checklist_reviewed_and_submitted_to_tmobile_atl,date,pwc_macro_staging_schema (main staging),"Date column ms_1557_punch_checklist_reviewed_and_submitted_to_tmobile_atl. Expected date = CX_Start - 14 days. CX_Start = Max(pj_p_3710_ran_entitlement_complete_finish, pj_p_4075_construction_ntp_submitted_to_gc_finish) + 50 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
12,nas_upload,Planned Activity Upload Status in NAS,Outage Readiness Phase,GC,7,nas_activity_end_date,date,"pwc_macro_staging_schema.nas_planned_outage_activity (SEPARATE TABLE, joined by nas_site_id)","Separate SQL query: SELECT nas_site_id, nas_activity_end_date FROM pwc_macro_staging_schema.nas_planned_outage_activity WHERE nas_project_category = 'AHLOB' AND nas_site_id = ANY(:site_ids) AND nas_activity_end_date IS NOT NULL. Expected date = CX_Start - 7 days.","On Track = actual_date <= expected_date; Delayed = actual_date > expected_date (delay = actual - expected days); In Progress = no actual date yet but expected_date >= today; Delayed = no actual date and expected_date < today."
